Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470pF,C_0805_2012Metric,113.700000,-70.800000,0.000000,bottom
C2,1uF,C_0805_2012Metric,94.730000,-85.975000,180.000000,bottom
C3,22uF,C_0805_2012Metric,94.730000,-88.250000,180.000000,bottom
C4,22uF,C_0805_2012Metric,94.730000,-90.475000,180.000000,bottom
C5,22uF,C_0805_2012Metric,103.370000,-88.320000,180.000000,bottom
C6,22uF,C_0805_2012Metric,103.370000,-86.080000,180.000000,bottom
C7,100nF,C_0805_2012Metric,94.700000,-83.750000,180.000000,bottom
C8,1uF,C_0805_2012Metric,81.200000,-90.280000,270.000000,bottom
C9,1uF,C_0805_2012Metric,113.700000,-73.100000,0.000000,bottom
C10,100nF,C_0805_2012Metric,96.450000,-50.550000,180.000000,bottom
C11,100nF,C_0805_2012Metric,96.550000,-55.960000,0.000000,bottom
D1,1N5819,D_SMA,87.080000,-92.535000,180.000000,bottom
D2,1N5819,D_SMA,87.105000,-87.710000,180.000000,bottom
D5,1N5819,D_SMA,103.500000,-81.350000,90.000000,bottom
Q1,S8050,SOT-23,55.235000,-58.565000,90.000000,bottom
Q2,S8050,SOT-23,67.550000,-48.485000,0.000000,bottom
Q3,AO3401A,SOT-23,55.235000,-66.690000,90.000000,bottom
Q4,AO3401A,SOT-23,60.025000,-48.485000,0.000000,bottom
Q5,AO3401A,SOT-23,105.400000,-71.600000,90.000000,bottom
R1,22k,R_0805_2012Metric,97.700000,-66.800000,-0.000000,bottom
R2,33k,R_0805_2012Metric,97.700000,-64.700000,-0.000000,bottom
R3,5.1k,R_0805_2012Metric,65.075000,-87.525000,270.000000,bottom
R4,10k,R_0805_2012Metric,70.925000,-48.485000,90.000000,bottom
R5,10k,R_0805_2012Metric,55.235000,-54.490000,180.000000,bottom
R6,100k,R_0805_2012Metric,55.235000,-62.990000,-0.000000,bottom
R7,100k,R_0805_2012Metric,63.675000,-48.485000,270.000000,bottom
R8,5.1k,R_0805_2012Metric,67.325000,-87.525000,270.000000,bottom
R9,100k,R_0805_2012Metric,102.500000,-71.600000,90.000000,bottom
R10,100k,R_0805_2012Metric,103.480000,-90.550000,180.000000,bottom
R11,14k,R_0805_2012Metric,98.950000,-87.850000,180.000000,bottom
R12,1.5k,R_0805_2012Metric,97.700000,-68.900000,180.000000,bottom
R13,10k,R_0805_2012Metric,97.700000,-71.000000,-0.000000,bottom
R14,10k,R_0805_2012Metric,96.450000,-53.050000,-0.000000,bottom
